First Name,Last Name,Salary,Position,Team,Opponent,Line,Power_Play,Projection
John,Doe118,3000,C,G,H,4,x,0.5
John,Doe119,3400,W,G,H,4,x,1.4
John,Doe120,3500,W,G,H,4,x,1.5
John,Doe121,5200,D,G,H,x,1,3.1
John,Doe122,5400,D,G,H,x,2,3.4
John,Doe123,5400,D,G,H,x,x,0.3
John,Doe124,6500,D,G,H,x,x,2.6
John,Doe125,6000,D,G,H,x,x,3
John,Doe126,5400,D,G,H,x,x,1.5
John,Doe127,7200,C,H,G,1,1,3.3
John,Doe128,6500,W,H,G,1,1,4.5
John,Doe129,8000,W,H,G,1,1,6.1
John,Doe130,4900,C,H,G,2,1,4.8
John,Doe131,5400,W,H,G,2,2,5.5
John,Doe132,5800,W,H,G,2,2,3.8
John,Doe133,4000,C,H,G,3,2,2.4
John,Doe134,3100,W,H,G,3,2,2.2
John,Doe135,4000,W,H,G,3,x,3.8
John,Doe136,3200,C,H,G,4,x,0.6
John,Doe137,3000,W,H,G,4,x,1.2
John,Doe138,3100,W,H,G,4,x,0.8
John,Doe139,6200,D,H,G,x,1,3.1
John,Doe140,7200,D,H,G,x,2,1.2
John,Doe141,4800,D,H,G,x,x,0.8
John,Doe142,4800,D,H,G,x,x,0.6
John,Doe143,7400,D,H,G,x,x,0.5
John,Doe144,4000,D,H,G,x,x,1.8
John,Doe145,4300,C,I,J,1,1,8
John,Doe146,5400,W,I,J,1,1,3.3
John,Doe147,6600,W,I,J,1,1,7.2
John,Doe148,4600,C,I,J,2,1,3.6
John,Doe149,3900,W,I,J,2,2,5.8
John,Doe150,5700,W,I,J,2,2,5.4
John,Doe151,3900,C,I,J,3,2,2.1
John,Doe152,3500,W,I,J,3,2,2.6
John,Doe153,3500,W,I,J,3,x,2.8
John,Doe154,3100,C,I,J,4,x,0.9
John,Doe155,3200,W,I,J,4,x,1.7
John,Doe156,3000,W,I,J,4,x,1.4
John,Doe157,5700,D,I,J,x,1,1.7
John,Doe158,6800,D,I,J,x,2,3.4
John,Doe159,6700,D,I,J,x,x,1.9
John,Doe160,6600,D,I,J,x,x,2.4
John,Doe161,5800,D,I,J,x,x,2.9
John,Doe162,7600,D,I,J,x,x,0
John,Doe163,7000,C,J,I,1,1,7.5
John,Doe164,7800,W,J,I,1,1,7.3
John,Doe165,7000,W,J,I,1,1,4.8
John,Doe166,5800,C,J,I,2,1,4.5
John,Doe167,5800,W,J,I,2,2,5.9
John,Doe168,4800,W,J,I,2,2,4.3
John,Doe169,3200,C,J,I,3,2,3.8
John,Doe170,4200,W,J,I,3,2,3.6
John,Doe171,4000,W,J,I,3,x,2.8
John,Doe172,3500,C,J,I,4,x,1.5
John,Doe173,3300,W,J,I,4,x,1.4
John,Doe174,3100,W,J,I,4,x,2
John,Doe175,4900,D,J,I,x,1,2.5
John,Doe176,6100,D,J,I,x,2,1.9
John,Doe177,7300,D,J,I,x,x,2.3
John,Doe178,4700,D,J,I,x,x,1
John,Doe179,8000,D,J,I,x,x,2.1
John,Doe180,5100,D,J,I,x,x,1.6
